researcher_id,coffee_group,days,accepted
R001,caffeinated,1,1
R002,caffeinated,365,0
R003,caffeinated,216,1
R004,caffeinated,271,1
R005,caffeinated,176,1
R006,decaffeinated,365,0
R007,caffeinated,184,1
R008,caffeinated,365,0
R009,caffeinated,52,1
R010,caffeinated,62,1
R011,caffeinated,1,1
R012,caffeinated,63,1
R013,caffeinated,9,1
R014,decaffeinated,365,0
R015,caffeinated,365,0
R016,caffeinated,365,0
R017,decaffeinated,289,1
R018,decaffeinated,87,1
R019,caffeinated,365,0
R020,decaffeinated,365,0
R021,decaffeinated,161,1
R022,decaffeinated,365,0
R023,caffeinated,287,1
R024,decaffeinated,28,1
R025,decaffeinated,365,0
R026,decaffeinated,365,0
R027,caffeinated,10,1
R028,decaffeinated,226,1
R029,decaffeinated,45,1
R030,caffeinated,68,1
R031,caffeinated,365,0
R032,caffeinated,33,1
R033,decaffeinated,79,1
R034,caffeinated,141,1
R035,caffeinated,173,1
R036,caffeinated,9,1
R037,decaffeinated,127,1
R038,decaffeinated,4,1
R039,decaffeinated,365,0
R040,decaffeinated,365,0
R041,caffeinated,365,0
R042,decaffeinated,365,0
R043,decaffeinated,365,0
R044,decaffeinated,365,0
R045,caffeinated,35,1
R046,decaffeinated,289,1
R047,caffeinated,365,0
R048,caffeinated,121,1
R049,decaffeinated,36,1
R050,caffeinated,365,0
R051,decaffeinated,85,1
R052,decaffeinated,307,1
R053,decaffeinated,281,1
R054,decaffeinated,200,1
R055,decaffeinated,93,1
R056,caffeinated,365,0
R057,decaffeinated,109,1
R058,decaffeinated,101,1
R059,caffeinated,365,0
R060,decaffeinated,51,1
